"Microrregião IBGE";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"13001 RIO NEGRO";6336;6032;5725;5156;4582;4021;3465;3104;2587;2157;1763;1475;1195;968;750;519;566;50401
"13002 JAPURA";1693;1499;1436;1365;1227;1039;785;707;584;454;333;270;197;140;73;60;69;11931
"13003 ALTO SOLIMOES";17258;16911;15874;14323;12923;11159;9522;8346;6740;5215;4148;3320;2582;1895;1399;1050;1314;133979
"13004 JURUA";8047;8085;7796;7724;7066;6128;5101;4631;4029;3093;2320;1910;1466;1091;766;562;708;70523
"13005 TEFE";6130;5663;5675;5770;5347;4555;3822;3426;2994;2283;1729;1383;1087;822;567;428;484;52165
"13006 COARI";8530;8496;8517;8528;7608;6611;5701;5311;4765;3765;2772;2277;1782;1395;947;633;804;78442
"13007 MANAUS";95607;103832;102481;103691;113842;114113;104353;105827;100701;83775;66787;54567;44142;32671;22272;14180;15426;1278267
"13008 RIO PRETO DA EVA";2595;2758;2872;2615;2375;2204;2059;2016;1936;1677;1394;1251;1004;695;460;257;232;28400
"13009 ITACOATIARA";8471;8946;9194;8921;8408;7672;6716;6398;5720;4785;3746;3086;2565;1928;1318;882;1072;89828
"13010 PARINTINS";13977;14037;14038;13671;12527;10984;9623;8926;7798;6199;4971;4246;3584;2856;2033;1409;1832;132711
"13011 BOCA DO ACRE";2701;2721;2790;2872;2692;2381;2077;1841;1650;1348;1069;882;694;512;383;285;329;27227
"13012 PURUS";4194;4066;4148;4070;3986;3574;3053;2893;2496;1892;1486;1329;1008;756;499;363;387;40200
"13013 MADEIRA";10024;9808;9257;9244;9178;8511;7707;6704;5818;4518;3599;2911;2397;1799;1229;897;1070;94671
"Total";185563;192854;189803;187950;191761;182952;163984;160130;147818;121161;96117;78907;63703;47528;32696;21525;24293;2088745
