"Microrregião IBGE";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"13001 RIO NEGRO";6409;6298;6023;5495;4804;4418;3798;3430;3002;2579;2103;1700;1388;1050;767;494;546;54304
"13002 JAPURA";1675;1604;1486;1460;1387;1179;917;837;709;539;438;355;289;208;138;70;68;13359
"13003 ALTO SOLIMOES";17480;17446;16654;15345;13623;11704;9987;8837;7604;6188;4868;3862;3047;2251;1563;1098;1295;142852
"13004 JURUA";8023;8248;8056;8145;7561;6649;5586;5157;4607;3544;2675;2216;1707;1236;837;599;629;75475
"13005 TEFE";6529;6018;5974;6260;5681;4853;4156;3863;3421;2770;2097;1576;1234;963;683;467;529;57074
"13006 COARI";8506;8647;8965;9037;8141;6964;6035;5756;5346;4489;3425;2686;2246;1745;1116;743;756;84603
"13007 MANAUS";98331;108427;108160;107893;112477;112131;101843;100040;96216;80693;64378;52093;40790;29221;18658;10953;9756;1252060
"13008 RIO PRETO DA EVA";2630;2781;2866;2737;2427;2251;1995;2012;2047;1861;1618;1467;1247;947;613;353;260;30112
"13009 ITACOATIARA";8698;9335;9611;9666;8896;7897;6961;6805;6543;5610;4346;3555;3034;2385;1503;953;941;96739
"13010 PARINTINS";14559;14846;14601;14660;13380;11920;10422;9906;9111;7551;5890;4890;4209;3353;2282;1467;1749;144796
"13011 BOCA DO ACRE";2786;2977;3020;3095;2993;2613;2289;2137;2029;1652;1302;1070;854;684;446;273;334;30554
"13012 PURUS";4541;4389;4368;4572;4359;3915;3577;3355;3025;2389;1943;1597;1282;913;603;392;389;45609
"13013 MADEIRA";10166;10042;9906;10100;9744;9016;8152;7500;6752;5493;4428;3614;2976;2336;1641;1076;1089;104031
"Total";190333;201058;199690;198465;195473;185510;165718;159635;150412;125358;99511;80681;64303;47292;30850;18938;18341;2131568
