"Microrregião IBGE";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais";"Total"
"13001 RIO NEGRO";11;1;15;14;3;3;6;5;2;4;6;5;7;6;5;9;8;9;14;53;186
"13002 JAPURA";4;-;2;1;1;-;-;-;-;-;1;-;1;1;2;-;1;3;2;8;27
"13003 ALTO SOLIMOES";24;8;29;13;4;6;15;12;15;11;8;14;14;8;14;15;24;19;29;107;389
"13004 JURUA";19;3;6;4;2;2;6;2;5;3;2;4;6;10;7;5;15;22;21;51;195
"13005 TEFE";8;3;6;6;2;-;6;2;4;2;2;6;6;4;10;13;16;5;14;42;157
"13006 COARI";14;2;13;2;1;3;3;4;3;5;4;7;4;6;11;19;19;22;21;72;235
"13007 MANAUS";106;31;109;56;24;29;51;73;94;104;132;230;223;271;369;394;505;550;533;1559;5443
"13008 RIO PRETO DA EVA";-;1;1;-;-;-;2;2;2;3;2;7;4;7;5;5;5;6;11;28;91
"13009 ITACOATIARA";12;2;6;1;-;4;1;4;7;7;12;9;14;17;13;16;15;40;32;100;312
"13010 PARINTINS";16;2;9;7;-;2;5;4;4;13;6;16;13;17;25;23;30;46;47;166;451
"13011 BOCA DO ACRE";4;1;5;3;-;-;3;2;1;2;1;4;1;1;7;8;7;9;9;34;102
"13012 PURUS";5;1;2;3;1;1;-;2;3;-;1;6;2;3;3;8;8;8;9;39;105
"13013 MADEIRA";10;1;11;6;1;1;5;5;4;3;5;5;7;16;20;15;18;19;23;96;271
"Total";233;56;214;116;39;51;103;117;144;157;182;313;302;367;491;530;671;758;765;2355;7964
