"Microrregião IBGE";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais";"Total"
"13001 RIO NEGRO";16;5;25;16;5;3;12;16;8;6;11;13;9;14;16;19;23;28;19;58;322
"13002 JAPURA";3;2;2;1;1;-;-;4;1;3;3;3;2;3;5;6;-;3;-;5;47
"13003 ALTO SOLIMOES";41;12;40;22;12;12;43;37;43;22;27;33;26;27;31;37;34;40;27;110;676
"13004 JURUA";18;6;11;14;1;1;12;12;20;19;17;15;19;14;19;21;24;30;18;61;352
"13005 TEFE";14;5;11;7;2;4;4;14;14;11;8;9;12;14;9;22;16;22;30;54;282
"13006 COARI";20;2;13;9;2;5;12;36;19;18;17;19;18;20;23;21;30;37;34;66;421
"13007 MANAUS";137;43;120;71;40;45;167;372;377;355;354;394;397;494;556;657;722;725;633;1198;7857
"13008 RIO PRETO DA EVA";1;3;5;2;1;1;5;16;9;8;11;7;8;11;11;12;20;19;12;25;187
"13009 ITACOATIARA";8;7;8;5;3;4;13;22;18;17;16;31;29;29;31;37;43;39;48;96;504
"13010 PARINTINS";26;5;22;6;6;6;18;32;27;29;28;26;24;40;31;44;59;69;62;162;722
"13011 BOCA DO ACRE";5;1;-;1;2;1;-;8;1;6;6;10;5;12;12;9;4;13;12;25;133
"13012 PURUS";4;-;10;5;1;2;4;4;4;6;7;5;10;1;10;19;13;15;18;32;170
"13013 MADEIRA";18;3;13;8;2;7;8;23;17;20;24;21;19;24;33;35;44;33;58;104;514
"Total";311;94;280;167;78;91;298;596;558;520;529;586;578;703;787;939;1032;1073;971;1996;12187
