"Microrregião IBGE";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"13001 RIO NEGRO";6283;6216;6078;5566;4808;4439;3853;3429;3055;2642;2162;1740;1420;1092;799;512;562;54656
"13002 JAPURA";1624;1578;1484;1445;1361;1195;935;826;722;557;444;361;298;220;147;75;70;13342
"13003 ALTO SOLIMOES";17334;17195;16799;15593;13680;11972;10183;8933;7784;6412;5036;3984;3153;2361;1643;1125;1339;144526
"13004 JURUA";7854;8082;7992;8086;7515;6761;5716;5187;4722;3719;2776;2270;1772;1303;883;610;656;75904
"13005 TEFE";6390;6059;5925;6250;5735;4991;4263;3892;3512;2900;2196;1641;1276;1000;717;483;551;57781
"13006 COARI";8205;8439;8846;8977;8061;7027;6067;5707;5404;4643;3559;2764;2295;1813;1184;762;785;84538
"13007 MANAUS";95941;106790;108826;108934;111311;113611;103555;99499;97444;83979;66873;53764;42419;30863;19956;11570;10345;1265680
"13008 RIO PRETO DA EVA";2523;2714;2852;2735;2401;2248;2006;1968;2040;1903;1658;1490;1284;993;655;375;282;30127
"13009 ITACOATIARA";8518;9141;9581;9695;8885;8052;7123;6838;6679;5867;4568;3667;3118;2491;1608;988;981;97800
"13010 PARINTINS";14147;14623;14515;14554;13267;12086;10645;9958;9313;7880;6131;4999;4294;3480;2418;1534;1803;145647
"13011 BOCA DO ACRE";2728;2908;3004;3087;2968;2670;2330;2155;2066;1735;1363;1107;887;711;475;290;344;30828
"13012 PURUS";4430;4393;4346;4555;4356;4008;3640;3393;3114;2525;2019;1647;1325;963;640;406;406;46166
"13013 MADEIRA";9967;10000;9911;10062;9635;9146;8293;7579;6909;5743;4585;3717;3058;2425;1718;1118;1143;105009
"Total";185944;198138;200159;199539;193983;188206;168609;159364;152764;130505;103370;83151;66599;49715;32843;19848;19267;2152004
