"Microrregião IBGE";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais";"Total"
"13001 RIO NEGRO";9;5;21;13;2;-;8;6;3;10;9;5;6;14;6;8;13;23;21;54;236
"13002 JAPURA";4;-;2;-;1;-;1;-;-;-;-;1;2;1;1;1;2;-;1;3;20
"13003 ALTO SOLIMOES";18;3;21;17;6;7;17;8;10;8;10;12;10;13;22;28;18;25;31;90;374
"13004 JURUA";15;-;16;5;4;1;4;6;9;3;9;5;10;10;10;17;17;14;15;50;220
"13005 TEFE";7;1;3;5;2;-;2;7;4;3;3;4;7;7;7;10;10;17;8;44;151
"13006 COARI";13;4;6;5;1;1;5;7;8;2;5;5;6;6;17;12;14;9;25;81;232
"13007 MANAUS";117;47;106;52;33;24;54;69;80;99;146;207;242;292;353;417;511;549;528;1639;5565
"13008 RIO PRETO DA EVA";-;-;-;3;-;1;2;1;3;3;4;4;7;7;6;8;9;15;7;24;104
"13009 ITACOATIARA";10;-;4;4;3;3;8;10;4;8;11;11;9;15;18;17;19;24;33;103;314
"13010 PARINTINS";18;5;11;9;4;8;3;9;9;7;7;13;20;16;10;17;35;36;36;171;444
"13011 BOCA DO ACRE";6;1;4;2;-;-;4;1;4;1;5;1;4;4;6;11;3;6;10;22;95
"13012 PURUS";9;2;8;1;1;1;2;1;2;1;8;3;-;3;7;2;11;9;12;29;112
"13013 MADEIRA";5;5;9;7;2;1;3;2;4;6;8;6;13;8;8;20;20;19;29;100;275
"Total";231;73;211;123;59;47;113;127;140;151;225;277;336;396;471;568;682;746;756;2410;8142
