"Microrregião IBGE";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos ou mais";"Total"
"13001 RIO NEGRO";34;3;21;19;4;6;8;16;24;18;20;12;12;17;11;18;25;16;19;53;356
"13002 JAPURA";3;-;2;1;1;1;2;1;4;3;2;1;4;2;4;4;4;2;-;6;47
"13003 ALTO SOLIMOES";37;8;33;24;9;6;32;40;23;34;16;28;33;28;23;36;34;37;38;118;637
"13004 JURUA";15;6;14;7;4;2;16;14;22;17;24;21;19;17;12;17;21;25;21;74;368
"13005 TEFE";12;3;5;-;2;4;9;14;17;5;17;12;10;7;13;12;14;28;22;54;260
"13006 COARI";10;1;4;8;1;7;20;32;21;26;22;21;20;22;19;24;39;28;35;74;434
"13007 MANAUS";153;41;79;44;29;30;112;319;344;349;330;406;414;464;557;667;771;776;671;1187;7743
"13008 RIO PRETO DA EVA";4;-;4;-;2;1;11;7;4;6;6;6;7;7;15;18;27;19;13;21;178
"13009 ITACOATIARA";18;4;10;2;-;4;14;13;18;18;17;19;17;20;23;46;43;46;43;83;458
"13010 PARINTINS";29;7;7;6;-;1;15;26;38;24;25;36;29;24;54;34;43;60;50;133;641
"13011 BOCA DO ACRE";6;-;2;-;-;1;9;3;2;12;10;6;10;4;6;15;7;13;11;34;151
"13012 PURUS";5;1;6;4;2;1;2;4;11;10;11;5;13;9;13;7;15;15;8;36;178
"13013 MADEIRA";6;4;6;7;-;3;18;20;23;25;13;18;18;24;32;30;36;45;44;88;460
"Total";332;78;193;122;54;67;268;509;551;547;513;591;606;645;782;928;1079;1110;975;1961;11911
