"","sex","age","population_2010","population_2011","population_2012"
"1",1,0,362310,366537,374930
"2",1,1,356537,360920,369103
"3",1,2,360286,356593,363267
"4",1,3,348488,361239,358683
"5",1,4,341396,350034,363089
"6",1,5,327825,342815,351775
"7",1,6,322431,328076,344238
"8",1,7,313371,322384,329541
"9",1,8,306932,313670,323780
"10",1,9,313351,307653,315051
"11",1,10,322710,314994,309199
"12",1,11,332448,324515,316550
"13",1,12,336703,334301,325884
"14",1,13,346550,338619,335887
"15",1,14,347043,348506,340292
"16",1,15,345738,350744,350049
"17",1,16,358232,349391,352304
"18",1,17,357752,362830,351288
"19",1,18,366877,363483,365013
"20",1,19,382777,374911,367793
"21",1,20,377378,391614,379105
"22",1,21,371264,387925,395786
"23",1,22,375503,382973,392853
"24",1,23,365626,386756,387022
"25",1,24,379524,375340,389328
"26",1,25,382955,385830,378222
"27",1,26,374388,388744,387569
"28",1,27,376282,379580,390186
"29",1,28,375988,382535,380237
"30",1,29,386365,383017,383457
"31",1,30,388308,388036,382785
"32",1,31,374061,390576,387979
"33",1,32,349817,376381,389892
"34",1,33,345178,351295,375288
"35",1,34,349679,346680,350572
"36",1,35,356835,350452,345802
"37",1,36,362088,357400,349719
"38",1,37,378268,362691,356752
"39",1,38,394828,379017,361989
"40",1,39,406933,395495,378444
"41",1,40,398083,405691,394462
"42",1,41,407629,396139,404656
"43",1,42,407789,405713,395357
"44",1,43,415628,405426,404697
"45",1,44,412373,413171,404505
"46",1,45,415041,411181,412350
"47",1,46,411547,414054,410463
"48",1,47,403356,410980,413073
"49",1,48,395704,402826,410012
"50",1,49,383477,395504,401718
"51",1,50,368268,382183,394601
"52",1,51,360623,367041,381162
"53",1,52,353500,359204,365826
"54",1,53,340055,351677,358135
"55",1,54,328389,338310,350379
"56",1,55,316973,327115,337129
"57",1,56,318239,315134,325676
"58",1,57,315146,316474,313644
"59",1,58,306648,313535,314333
"60",1,59,309190,304309,311378
"61",1,60,315565,306833,301948
"62",1,61,325086,312732,304215
"63",1,62,344496,322062,309976
"64",1,63,373340,340526,319163
"65",1,64,289249,370535,337027
"66",1,65,281409,285263,366461
"67",1,66,280346,277372,281872
"68",1,67,260731,276947,273717
"69",1,68,232593,256753,272892
"70",1,69,209951,228564,252346
"71",1,70,218362,205293,224297
"72",1,71,215878,213326,200748
"73",1,72,210306,210743,208210
"74",1,73,199612,204846,205492
"75",1,74,189149,193751,199403
"76",1,75,179778,183057,187953
"77",1,76,165735,173479,176899
"78",1,77,157163,159253,166896
"79",1,78,152185,150085,152591
"80",1,79,143291,144716,143232
"81",1,80,131885,135438,137073
"82",1,81,118886,123733,127378
"83",1,82,106689,110662,115420
"84",1,83,97404,98416,102320
"85",1,84,87457,88954,89814
"86",1,85,75660,78972,80654
"87",1,86,65780,67585,70579
"88",1,87,56443,57954,59787
"89",1,88,49569,48965,50523
"90",1,89,40226,42204,41810
"91",1,90,33320,35910,36160
"92",1,91,21590,26440,29500
"93",1,92,14800,16770,21240
"94",1,93,11770,11220,13130
"95",1,94,9240,8670,8590
"96",1,95,6790,6650,6500
"97",1,96,4690,4770,4820
"98",1,97,3090,3180,3330
"99",1,98,1940,2030,2150
"100",1,99,1150,1230,1330
"101",1,100,670,700,770
"102",1,101,380,390,430
"103",1,102,200,210,230
"104",1,103,110,120,130
"105",1,104,50,60,70
"106",1,105,50,60,60
"107",2,0,345180,348918,357066
"108",2,1,340131,344644,351517
"109",2,2,343449,340637,346966
"110",2,3,331808,344380,342586
"111",2,4,326462,333299,345998
"112",2,5,313698,327583,334764
"113",2,6,308135,313502,328786
"114",2,7,297974,307763,314879
"115",2,8,292551,297864,309015
"116",2,9,300341,292669,299318
"117",2,10,307372,301342,294107
"118",2,11,317126,308567,302954
"119",2,12,321389,318436,310179
"120",2,13,330585,322702,319951
"121",2,14,327260,332026,324096
"122",2,15,328203,330039,333278
"123",2,16,339119,331588,330984
"124",2,17,341644,343404,332862
"125",2,18,356631,348008,346125
"126",2,19,366707,366756,352948
"127",2,20,361515,374281,371094
"128",2,21,363915,369976,378827
"129",2,22,375624,374322,375795
"130",2,23,373043,384541,379809
"131",2,24,379279,381109,388104
"132",2,25,383089,382585,383728
"133",2,26,377117,386177,384865
"134",2,27,381517,380309,387861
"135",2,28,383192,386325,381904
"136",2,29,388103,387793,387634
"137",2,30,388973,390950,388750
"138",2,31,371960,391934,391846
"139",2,32,347928,374870,392780
"140",2,33,342280,349530,375352
"141",2,34,351559,344095,349655
"142",2,35,359036,351572,344037
"143",2,36,366521,359019,351680
"144",2,37,382721,366322,358863
"145",2,38,399712,382330,366503
"146",2,39,414527,398805,382335
"147",2,40,404545,415114,398939
"148",2,41,415533,404411,415044
"149",2,42,414506,415324,404652
"150",2,43,419956,414224,415184
"151",2,44,422255,419126,414220
"152",2,45,424585,421546,419132
"153",2,46,420517,424010,421335
"154",2,47,411826,420061,423796
"155",2,48,402218,410972,419840
"156",2,49,387964,401573,410600
"157",2,50,372918,387883,401028
"158",2,51,364704,372818,387240
"159",2,52,357023,364657,372177
"160",2,53,344733,356694,363922
"161",2,54,333378,344514,355985
"162",2,55,322905,332680,343714
"163",2,56,325730,321939,331771
"164",2,57,321773,324671,320942
"165",2,58,315336,320864,323702
"166",2,59,318368,313823,319773
"167",2,60,327312,316675,312505
"168",2,61,335600,325386,315394
"169",2,62,356855,333606,324054
"170",2,63,385971,354118,332007
"171",2,64,301247,384299,352065
"172",2,65,294307,298471,381771
"173",2,66,293218,291390,296210
"174",2,67,276125,291119,289020
"175",2,68,249436,273312,288461
"176",2,69,227872,246765,270519
"177",2,70,237614,224580,243930
"178",2,71,237622,234074,221681
"179",2,72,232617,233950,230707
"180",2,73,224061,228648,230113
"181",2,74,216307,219707,224780
"182",2,75,208420,211639,215264
"183",2,76,197280,203522,206969
"184",2,77,191777,191907,198479
"185",2,78,190340,185870,186382
"186",2,79,186313,183719,179843
"187",2,80,178291,178937,176861
"188",2,81,165651,170657,171335
"189",2,82,154212,157406,162402
"190",2,83,145236,145454,148827
"191",2,84,136577,135633,136380
"192",2,85,126333,126548,126029
"193",2,86,116456,116021,116432
"194",2,87,106956,105903,105484
"195",2,88,99307,96247,95381
"196",2,89,91529,87958,85255
"197",2,90,73850,79740,77890
"198",2,91,51820,63350,68250
"199",2,92,38480,43650,53190
"200",2,93,32950,31730,35880
"201",2,94,28000,26600,25550
"202",2,95,22480,22030,20900
"203",2,96,17210,17220,16840
"204",2,97,12470,12850,12800
"205",2,98,8520,9060,9310
"206",2,99,5660,6010,6350
"207",2,100,3700,3850,4060
"208",2,101,2350,2420,2510
"209",2,102,1440,1480,1530
"210",2,103,840,880,910
"211",2,104,450,500,520
"212",2,105,480,540,580
